"application_id","applicant_name","national_id","email","income","amount","decision"
"APP-0000000","Test User 0","SYN-000000000","user0@example.test",28921.55,19395.48,"review"
"APP-0000001","Test User 1","SYN-000000001","user1@example.test",16999.51,11668.82,"declined"
"APP-0000002","Test User 2","SYN-000000002","user2@example.test",32227.39,17391.6,"approved"
"APP-0000003","Test User 3","SYN-000000003","user3@example.test",59738.25,52368.41,"approved"
"APP-0000004","Test User 4","SYN-000000004","user4@example.test",26766.66,4279.82,"approved"
"APP-0000005","Test User 5","SYN-000000005","user5@example.test",28929.07,7436.77,"approved"
"APP-0000006","Test User 6","SYN-000000006","user6@example.test",40517.4,25594.83,"approved"
"APP-0000007","Test User 7","SYN-000000007","user7@example.test",98284.92,36564.25,"review"
"APP-0000008","Test User 8","SYN-000000008","user8@example.test",34898.59,29770.56,"approved"
"APP-0000009","Test User 9","SYN-000000009","user9@example.test",56352.1,10553.45,"review"
"APP-0000010","Test User 10","SYN-000000010","user10@example.test",51474.11,38562.79,"approved"
"APP-0000011","Test User 11","SYN-000000011","user11@example.test",70058.15,57899.29,"declined"
"APP-0000012","Test User 12","SYN-000000012","user12@example.test",54683.48,9972.32,"declined"
"APP-0000013","Test User 13","SYN-000000013","user13@example.test",30988.59,9026.06,"approved"
"APP-0000014","Test User 14","SYN-000000014","user14@example.test",31525.99,24375.43,"approved"
"APP-0000015","Test User 15","SYN-000000015","user15@example.test",34114.87,26404.82,"declined"
"APP-0000016","Test User 16","SYN-000000016","user16@example.test",95936.18,48684.97,"declined"
"APP-0000017","Test User 17","SYN-000000017","user17@example.test",42381.59,15161.52,"declined"
"APP-0000018","Test User 18","SYN-000000018","user18@example.test",40684.2,10024.83,"declined"
"APP-0000019","Test User 19","SYN-000000019","user19@example.test",43558.67,7033.07,"approved"
"APP-0000020","Test User 20","SYN-000000020","user20@example.test",46879.84,22639.82,"declined"
"APP-0000021","Test User 21","SYN-000000021","user21@example.test",45004.67,21268.63,"declined"
"APP-0000022","Test User 22","SYN-000000022","user22@example.test",84181.52,46492.2,"approved"
"APP-0000023","Test User 23","SYN-000000023","user23@example.test",46390.44,37444.67,"declined"
"APP-0000024","Test User 24","SYN-000000024","user24@example.test",70694.61,27620.35,"declined"
"APP-0000025","Test User 25","SYN-000000025","user25@example.test",36421.74,17293.11,"approved"
"APP-0000026","Test User 26","SYN-000000026","user26@example.test",30579.11,13593.57,"approved"
"APP-0000027","Test User 27","SYN-000000027","user27@example.test",39451.46,16846.28,"declined"
"APP-0000028","Test User 28","SYN-000000028","user28@example.test",72681.42,57166.57,"review"
"APP-0000029","Test User 29","SYN-000000029","user29@example.test",62116.33,10091.03,"approved"
"APP-0000030","Test User 30","SYN-000000030","user30@example.test",29855.58,4868.7,"declined"
"APP-0000031","Test User 31","SYN-000000031","user31@example.test",34226.62,28663.2,"declined"
"APP-0000032","Test User 32","SYN-000000032","user32@example.test",24940.45,6523.98,"declined"
"APP-0000033","Test User 33","SYN-000000033","user33@example.test",19017.12,16481.85,"approved"
"APP-0000034","Test User 34","SYN-000000034","user34@example.test",45563.16,23563.88,"declined"
"APP-0000035","Test User 35","SYN-000000035","user35@example.test",22077.22,7330.22,"approved"
"APP-0000036","Test User 36","SYN-000000036","user36@example.test",38850.11,7696.23,"declined"
"APP-0000037","Test User 37","SYN-000000037","user37@example.test",43648.44,5983.98,"approved"
"APP-0000038","Test User 38","SYN-000000038","user38@example.test",78877.44,46804.88,"approved"
"APP-0000039","Test User 39","SYN-000000039","user39@example.test",15271.36,5552.03,"approved"
"APP-0000040","Test User 40","SYN-000000040","user40@example.test",67290.65,39061.6,"approved"
"APP-0000041","Test User 41","SYN-000000041","user41@example.test",132954.64,66689.28,"approved"
"APP-0000042","Test User 42","SYN-000000042","user42@example.test",41909.93,5520.34,"approved"
"APP-0000043","Test User 43","SYN-000000043","user43@example.test",69200.1,19674.18,"declined"
"APP-0000044","Test User 44","SYN-000000044","user44@example.test",30000.54,5105.34,"declined"
"APP-0000045","Test User 45","SYN-000000045","user45@example.test",61494.42,42241.83,"review"
"APP-0000046","Test User 46","SYN-000000046","user46@example.test",31544.64,21032.26,"declined"
"APP-0000047","Test User 47","SYN-000000047","user47@example.test",50299.95,19462.91,"declined"
"APP-0000048","Test User 48","SYN-000000048","user48@example.test",29100.79,9285.67,"declined"
"APP-0000049","Test User 49","SYN-000000049","user49@example.test",28336.76,21327.15,"approved"
"APP-0000050","Test User 50","SYN-000000050","user50@example.test",56716.3,36467.97,"declined"
"APP-0000051","Test User 51","SYN-000000051","user51@example.test",65612.99,29464.23,"declined"
"APP-0000052","Test User 52","SYN-000000052","user52@example.test",22193.71,5166.27,"approved"
"APP-0000053","Test User 53","SYN-000000053","user53@example.test",56378.38,7120.18,"declined"
"APP-0000054","Test User 54","SYN-000000054","user54@example.test",52239.07,39799.89,"approved"
"APP-0000055","Test User 55","SYN-000000055","user55@example.test",18028.24,14563.09,"approved"
"APP-0000056","Test User 56","SYN-000000056","user56@example.test",69541.37,62230.95,"approved"
"APP-0000057","Test User 57","SYN-000000057","user57@example.test",40485.41,29642.71,"approved"
"APP-0000058","Test User 58","SYN-000000058","user58@example.test",23006.06,4447.56,"declined"
"APP-0000059","Test User 59","SYN-000000059","user59@example.test",22123.56,3057.24,"approved"
"APP-0000060","Test User 60","SYN-000000060","user60@example.test",40711.38,21690.22,"approved"
"APP-0000061","Test User 61","SYN-000000061","user61@example.test",55824.56,7603.52,"approved"
"APP-0000062","Test User 62","SYN-000000062","user62@example.test",39118.1,14691.68,"review"
"APP-0000063","Test User 63","SYN-000000063","user63@example.test",36254.41,18843.11,"approved"
"APP-0000064","Test User 64","SYN-000000064","user64@example.test",26756.99,12426.94,"declined"
"APP-0000065","Test User 65","SYN-000000065","user65@example.test",47366.63,41422.47,"approved"
"APP-0000066","Test User 66","SYN-000000066","user66@example.test",80661.55,13903.43,"declined"
"APP-0000067","Test User 67","SYN-000000067","user67@example.test",56557.57,50084.68,"declined"
"APP-0000068","Test User 68","SYN-000000068","user68@example.test",79147.66,29413.87,"review"
"APP-0000069","Test User 69","SYN-000000069","user69@example.test",19931.36,5891.49,"review"
"APP-0000070","Test User 70","SYN-000000070","user70@example.test",28790.61,14352.14,"review"
"APP-0000071","Test User 71","SYN-000000071","user71@example.test",86147.45,19706.59,"declined"
"APP-0000072","Test User 72","SYN-000000072","user72@example.test",17542.82,10379.93,"approved"
"APP-0000073","Test User 73","SYN-000000073","user73@example.test",82692.78,68782.61,"review"
"APP-0000074","Test User 74","SYN-000000074","user74@example.test",44274.65,33783.69,"approved"
"APP-0000075","Test User 75","SYN-000000075","user75@example.test",41999.2,19425.14,"declined"
"APP-0000076","Test User 76","SYN-000000076","user76@example.test",63370.66,52502.47,"declined"
"APP-0000077","Test User 77","SYN-000000077","user77@example.test",49780.77,7512.71,"review"
